113 Cause Name,Cause Name,State,Year,Age-adjusted Death Rate,Deaths,Number of Records
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,1999,52.2,2313,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,1999,55.9,294,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,1999,44.8,2214,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,1999,47.6,1287,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,1999,28.7,9198,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,1999,39,1519,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,1999,29.3,1034,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,1999,35.3,267,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,1999,28.4,161,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,1999,35.7,5961,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,1999,41.5,3078,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,1999,24.3,293,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,1999,48.3,597,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,1999,33.7,4125,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,1999,38.4,2309,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,1999,35.2,1123,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,1999,40.7,1126,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,1999,43.3,1730,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,1999,44.7,1940,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,1999,34.9,458,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,1999,25.9,1296,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,1999,19.6,1303,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,1999,32.8,3188,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,1999,35.8,1772,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,1999,58.9,1642,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,1999,43.2,2465,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,1999,50.3,461,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,1999,37.3,668,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,1999,38.5,710,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,1999,27.5,329,1
